loan_application_no,disbursed_date,disbursed_amount,source_entity_name,final_tpv,score,gender,age,industryy,status,city,state,pincode,disbursed_year,disbursed_month,disbursed_quarter,score_band,age_band,city_clean,is_metro_city,loan_to_tpv,amount_per_age,amount_x_score,predicted_income
19,2025-08-15,23525.0,TTT,17500.0,763,Male,45.0,Retail And Shopping,DISBURSED,THANE,Maharashtra,421204.0,2025.0,8.0,3.0,>750,36-45,thane,0,1.3442857142857143,522.7777777777778,17949575.0,17480.69415
20,2025-08-14,60026.0,PPP,34619.0,163,Male,39.0,Food & Beverages,DISBURSED,Palakkad,Kerala,679121.0,2025.0,8.0,3.0,<600,36-45,palakkad,0,1.7339033478725556,1539.128205128205,9784238.0,33091.3868
21,2025-08-14,287610.0,PPP,59069.33,770,Male,37.0,Food & Beverages,DISBURSED,West Midnapore,West Bengal,721302.0,2025.0,8.0,3.0,>750,36-45,west midnapore,0,4.869024246592944,7773.243243243243,221459700.0,58858.49860000003
22,2025-08-14,474925.0,TTT,152500.0,737,Male,37.0,Retail And Shopping,DISBURSED,Surat,Gujarat,395005.0,2025.0,8.0,3.0,700-749,36-45,surat,0,3.1142622950819674,12835.81081081081,350019725.0,152650.04869999996
23,2025-08-13,85640.0,BBB,9051.0,759,Male,44.0,Others,DISBURSED,Hyderabad,Telangana,500020.0,2025.0,8.0,3.0,>750,36-45,hyderabad,1,9.461937907413546,1946.3636363636363,65000760.0,8589.49
24,2025-08-19,23525.0,TTT,22500.0,730,Male,32.0,Automobiles,DISBURSED,Raipur,Chhattisgarh,492007.0,2025.0,8.0,3.0,700-749,31-35,raipur,0,1.0455555555555556,735.15625,17173250.0,22542.575650000002
25,2025-08-10,25887.0,BBB,12955.0,159,Male,46.0,Others,DISBURSED,Sangli,Maharashtra,416410.0,2025.0,8.0,3.0,<600,46-60,sangli,0,1.9982246236974142,562.7608695652174,4116033.0,12928.349150000005
26,2025-08-16,284955.0,TTT,182500.0,763,Male,24.0,Retail And Shopping,DISBURSED,PALAKKAD,Kerala,678555.0,2025.0,8.0,3.0,>750,22-25,palakkad,0,1.5613972602739725,11873.125,217420665.0,184593.09559999994
27,2025-08-09,103855.0,PPP,35855.66,144,Male,40.0,Grocery And Daily Needs,DISBURSED,Kanpur Nagar,Uttar Pradesh,208001.0,2025.0,8.0,3.0,<600,36-45,kanpur nagar,0,2.896474364158964,2596.375,14955120.0,35696.97920000008
28,2025-08-08,148636.0,PPP,51421.0,768,Female,38.0,Retail And Shopping,DISBURSED,Bengaluru,Karnataka,560068.0,2025.0,8.0,3.0,>750,36-45,bengaluru,1,2.8905700005834194,3911.4736842105262,114152448.0,52040.87300000001
29,2025-08-08,25884.0,PPP,22358.66,720,Male,60.0,Food & Beverages,DISBURSED,Kozhikode,Kerala,673106.0,2025.0,8.0,3.0,700-749,46-60,kozhikode,0,1.1576722397496093,431.4,18636480.0,22206.018200000046
30,2025-08-06,95280.0,PPP,129343.0,740,Male,24.0,Retail And Shopping,DISBURSED,Bengaluru,Karnataka,560113.0,2025.0,8.0,3.0,700-749,22-25,bengaluru,1,0.7366459723371191,3970.0,70507200.0,129166.30865
31,2025-08-25,76221.0,TTT,22500.0,738,Male,45.0,Retail And Shopping,DISBURSED,THANE,Maharashtra,421201.0,2025.0,8.0,3.0,700-749,36-45,thane,0,3.3876,1693.8,56251098.0,22458.010650000004
32,2025-08-14,30112.0,TTT,12500.0,761,Male,30.0,Retail And Shopping,DISBURSED,Cuttack,Odisha,754008.0,2025.0,8.0,3.0,>750,26-30,cuttack,0,2.40896,1003.7333333333333,22915232.0,12488.285
33,2025-08-05,235275.0,BBB,40053.0,739,Male,45.0,Others,DISBURSED,Faridabad,Haryana,121002.0,2025.0,8.0,3.0,700-749,36-45,faridabad,0,5.874091828327466,5228.333333333333,173868225.0,40163.43205
34,2025-08-07,70575.0,TTT,17500.0,767,Male,48.0,Healthcare And Wellness,DISBURSED,Central Delhi,Delhi,110084.0,2025.0,8.0,3.0,>750,46-60,central delhi,0,4.032857142857143,1470.3125,54131025.0,17773.41280000001
35,2025-08-05,18217.0,BBB,5444.0,126,Male,39.0,Others,DISBURSED,South 24 Parganas,West Bengal,700152.0,2025.0,8.0,3.0,<600,36-45,south 24 parganas,0,3.3462527553269656,467.1025641025641,2295342.0,5369.458999999999
36,2025-08-03,23527.0,BBB,13791.0,766,Male,24.0,Others,DISBURSED,Mumbai,Maharashtra,400086.0,2025.0,8.0,3.0,>750,22-25,mumbai,1,1.7059676600681604,980.2916666666666,18021682.0,13755.67655
37,2025-08-09,23970.0,BBB,72447.0,160,Male,61.0,Others,DISBURSED,Pedana,Andhra Pradesh,521366.0,2025.0,8.0,3.0,<600,60+,pedana,0,0.3308625615967535,392.95081967213116,3835200.0,69691.44830000003
38,2025-08-07,132153.0,TTT,32500.0,651,Male,41.0,Retail And Shopping,DISBURSED,GURUGRAM,Haryana,122003.0,2025.0,8.0,3.0,600-699,36-45,gurugram,0,4.066246153846154,3223.243902439024,86031603.0,32176.349450000012
39,2025-07-31,173822.0,TTT,32500.0,757,Male,37.0,Automobiles,DISBURSED,Ankleshwar,Gujarat,393001.0,2025.0,7.0,3.0,>750,36-45,ankleshwar,0,5.348369230769231,4697.891891891892,131583254.0,32845.660800000005
40,2025-08-02,144825.0,PPP,35792.16,145,Male,50.0,Grocery And Daily Needs,DISBURSED,Adilabad,Telangana,504102.0,2025.0,8.0,3.0,<600,46-60,adilabad,0,4.046277173548621,2896.5,20999625.0,35781.23470000004
41,2025-07-25,47050.0,TTT,52500.0,744,Female,37.0,Retail And Shopping,DISBURSED,Coimbatore,Tamil Nadu,641008.0,2025.0,7.0,3.0,700-749,36-45,coimbatore,0,0.8961904761904762,1271.6216216216217,35005200.0,52488.355
42,2025-07-23,287610.0,PPP,83458.66,716,Male,45.0,Retail And Shopping,DISBURSED,Patan,Gujarat,384265.0,2025.0,7.0,3.0,700-749,36-45,patan,0,3.4461372852140206,6391.333333333333,205928760.0,83469.72055000009
43,2025-07-18,287610.0,PPP,118446.33,774,Male,31.0,Retail And Shopping,DISBURSED,Gurgaon,Haryana,122413.0,2025.0,7.0,3.0,>750,31-35,gurgaon,0,2.4281883617668862,9277.741935483871,222610140.0,118489.44424999971
44,2025-07-19,184070.0,TTT,27500.0,728,Male,41.0,Others,DISBURSED,Ghaziabad,Uttar Pradesh,201012.0,2025.0,7.0,3.0,700-749,36-45,ghaziabad,0,6.6934545454545455,4489.512195121952,134002960.0,27204.076450000004
45,2025-07-17,27802.0,PPP,12115.66,752,Male,35.0,Healthcare And Wellness,DISBURSED,Hyderabad,Telangana,500028.0,2025.0,7.0,3.0,>750,31-35,hyderabad,1,2.2947160947071805,794.3428571428572,20907104.0,12075.102499999997
46,2025-07-17,190560.0,PPP,108713.33,735,Male,26.0,Food & Beverages,DISBURSED,Krishna,Andhra Pradesh,521101.0,2025.0,7.0,3.0,700-749,26-30,krishna,0,1.7528669207354792,7329.2307692307695,140061600.0,108436.35654999976
47,2025-07-19,94100.0,TTT,117500.0,143,Male,49.0,Food & Beverages,DISBURSED,KASARAGOD,Kerala,671532.0,2025.0,7.0,3.0,<600,46-60,kasaragod,0,0.8008510638297872,1920.408163265306,13456300.0,118052.30899999994
48,2025-07-19,47050.0,TTT,67500.0,713,Male,26.0,Retail And Shopping,DISBURSED,GWALIOR,Madhya Pradesh,474009.0,2025.0,7.0,3.0,700-749,26-30,gwalior,0,0.697037037037037,1809.6153846153845,33546650.0,67546.2565
49,2025-07-12,45451.0,TTT,7500.0,776,Male,49.0,Healthcare And Wellness,DISBURSED,CHENGALPATTU,Tamil Nadu,600126.0,2025.0,7.0,3.0,>750,46-60,chengalpattu,0,6.060133333333333,927.5714285714286,35269976.0,7615.748
50,2025-07-14,14115.0,TTT,7500.0,747,Male,43.0,Retail And Shopping,DISBURSED,Deoria,Uttar Pradesh,274001.0,2025.0,7.0,3.0,700-749,36-45,deoria,0,1.882,328.25581395348837,10543905.0,7611.17375
51,2025-07-11,47935.0,PPP,44707.33,751,Male,39.0,Grocery And Daily Needs,DISBURSED,Nalgonda,Telangana,508001.0,2025.0,7.0,3.0,>750,36-45,nalgonda,0,1.0721955437732469,1229.1025641025642,35999185.0,44874.79710000005
52,2025-07-06,77176.0,PPP,33259.0,718,Male,41.0,Healthcare And Wellness,DISBURSED,Pune,Maharashtra,411062.0,2025.0,7.0,3.0,700-749,36-45,pune,1,2.320454613788749,1882.341463414634,55412368.0,33252.183300000004
53,2025-07-06,41224.0,PPP,17692.0,784,Male,39.0,Food & Beverages,DISBURSED,Patna,Bihar,800013.0,2025.0,7.0,3.0,>750,36-45,patna,0,2.3300926972643,1057.025641025641,32319616.0,17622.20975000001
54,2025-07-06,80530.0,PPP,82963.16,763,Male,42.0,Grocery And Daily Needs,DISBURSED,Nalgonda,Telangana,508115.0,2025.0,7.0,3.0,>750,36-45,nalgonda,0,0.9706718017973278,1917.3809523809523,61444390.0,82747.91295000007
55,2025-07-06,28761.0,PPP,10041.33,761,Male,37.0,Healthcare And Wellness,DISBURSED,South Delhi,Delhi,110025.0,2025.0,7.0,3.0,>750,36-45,south delhi,0,2.8642620051327863,777.3243243243244,21887121.0,10112.606900000015
56,2025-07-06,190560.0,PPP,89526.66,773,Female,25.0,Food & Beverages,DISBURSED,Prakasam,Andhra Pradesh,523201.0,2025.0,7.0,3.0,>750,22-25,prakasam,0,2.1285279714444836,7622.4,147302880.0,89796.66105000005
57,2025-07-06,190560.0,PPP,137766.33,736,Male,39.0,Food & Beverages,DISBURSED,Central Delhi,Delhi,110006.0,2025.0,7.0,3.0,700-749,36-45,central delhi,0,1.3832117034692004,4886.153846153846,140252160.0,137931.72364999956
58,2025-07-06,285840.0,PPP,187829.83,745,Male,22.0,Healthcare And Wellness,DISBURSED,Akola,Maharashtra,444001.0,2025.0,7.0,3.0,700-749,22-25,akola,0,1.5218030064766603,12992.727272727272,212950800.0,187849.03354999932
59,2025-07-07,95280.0,PPP,44276.33,724,Female,38.0,Grocery And Daily Needs,DISBURSED,Kamrup,Assam,781038.0,2025.0,7.0,3.0,700-749,36-45,kamrup,0,2.1519398739687774,2507.3684210526317,68982720.0,44223.545650000044
60,2025-07-04,287610.0,PPP,94416.66,784,Female,40.0,Grocery And Daily Needs,DISBURSED,Mumbai,Maharashtra,400088.0,2025.0,7.0,3.0,>750,36-45,mumbai,1,3.046178502819312,7190.25,225486240.0,94736.72814999991
61,2025-07-16,53637.0,TTT,22500.0,810,Female,41.0,Food & Beverages,DISBURSED,BENGALURU URBAN,Karnataka,560058.0,2025.0,7.0,3.0,>750,36-45,bengaluru urban,0,2.3838666666666666,1308.219512195122,43445970.0,22510.829650000007
62,2025-07-05,37159.0,PPP,16175.66,759,Male,50.0,Grocery And Daily Needs,DISBURSED,Pune,Maharashtra,411046.0,2025.0,7.0,3.0,>750,46-60,pune,1,2.297216929633783,743.18,28203681.0,16166.26710000002
63,2025-07-04,41923.0,PPP,18332.0,767,Male,23.0,Grocery And Daily Needs,DISBURSED,Patna,Bihar,801503.0,2025.0,7.0,3.0,>750,22-25,patna,0,2.2868754091206633,1822.7391304347825,32154941.0,18334.508800000007
64,2025-07-02,91277.0,TTT,22500.0,778,Male,38.0,Grocery And Daily Needs,DISBURSED,KOLHAPUR,Maharashtra,416203.0,2025.0,7.0,3.0,>750,36-45,kolhapur,0,4.056755555555555,2402.0263157894738,71013506.0,22497.299350000005
65,2025-07-02,67648.0,PPP,29266.0,738,Male,27.0,Food & Beverages,DISBURSED,Krishna,Andhra Pradesh,520008.0,2025.0,7.0,3.0,700-749,26-30,krishna,0,2.3114877332057677,2505.4814814814813,49924224.0,29400.66630000002
66,2025-07-02,95870.0,PPP,107798.66,768,Female,49.0,Grocery And Daily Needs,DISBURSED,Bengaluru,Karnataka,560033.0,2025.0,7.0,3.0,>750,46-60,bengaluru,1,0.8893431513898225,1956.530612244898,73628160.0,108001.62700000011
67,2025-07-04,30112.0,TTT,12500.0,812,Male,37.0,Food & Beverages,DISBURSED,KOLAR,Karnataka,563135.0,2025.0,7.0,3.0,>750,36-45,kolar,0,2.40896,813.8378378378378,24450944.0,12510.969100000002
68,2025-06-27,61932.0,PPP,18161.0,753,Male,30.0,Food & Beverages,DISBURSED,Patna,Bihar,800001.0,2025.0,6.0,2.0,>750,26-30,patna,0,3.410164638511095,2064.4,46634796.0,18121.351450000013
69,2025-06-30,125545.0,TTT,47500.0,740,Female,39.0,Food & Beverages,DISBURSED,CHENNAI,Tamil Nadu,600096.0,2025.0,6.0,2.0,700-749,36-45,chennai,1,2.6430526315789473,3219.102564102564,92903300.0,47197.13025000002
70,2025-06-27,161976.0,PPP,37014.5,717,Male,37.0,Grocery And Daily Needs,DISBURSED,Hisar,Haryana,125001.0,2025.0,6.0,2.0,700-749,36-45,hisar,0,4.376014805008848,4377.72972972973,116136792.0,36911.70020000002
71,2025-07-15,23527.0,BBB,10259.0,776,Male,36.0,Others,DISBURSED,Howrah,West Bengal,711101.0,2025.0,7.0,3.0,>750,36-45,howrah,0,2.2933034408811777,653.5277777777778,18256952.0,10247.690999999999
72,2025-06-27,48592.0,PPP,19490.0,776,Female,35.0,Service And Utilities,DISBURSED,Sundergarh,Odisha,770001.0,2025.0,6.0,2.0,>750,31-35,sundergarh,0,2.493175987685993,1388.3428571428572,37707392.0,19541.121000000014
73,2025-06-26,23525.0,TTT,17500.0,753,Male,56.0,Retail And Shopping,DISBURSED,Mysore,Karnataka,570015.0,2025.0,6.0,2.0,>750,46-60,mysore,0,1.3442857142857143,420.0892857142857,17714325.0,17492.10075
74,2025-06-24,41923.0,PPP,18773.66,746,Male,29.0,Food & Beverages,DISBURSED,Howrah,West Bengal,711322.0,2025.0,6.0,2.0,700-749,26-30,howrah,0,2.2330754898085936,1445.6206896551723,31274558.0,18728.71275000002
75,2025-06-24,9528.0,PPP,37154.33,761,Male,40.0,Grocery And Daily Needs,DISBURSED,Rohtak,Haryana,124303.0,2025.0,6.0,2.0,>750,36-45,rohtak,0,0.25644386535835795,238.2,7250808.0,37478.09605000006
76,2025-06-25,207079.0,PPP,70951.2,768,Male,53.0,Retail And Shopping,DISBURSED,Bengaluru,Karnataka,560023.0,2025.0,6.0,2.0,>750,46-60,bengaluru,1,2.9186116654827545,3907.1509433962265,159036672.0,70468.32734999988
77,2025-06-23,13421.0,PPP,11593.33,763,Male,46.0,Service And Utilities,DISBURSED,Pune,Maharashtra,412405.0,2025.0,6.0,2.0,>750,46-60,pune,1,1.157648406454401,291.7608695652174,10240223.0,11319.75905
78,2025-06-23,88200.0,PPP,25270.8,734,Male,32.0,Grocery And Daily Needs,DISBURSED,Vijayapura,Karnataka,586209.0,2025.0,6.0,2.0,700-749,31-35,vijayapura,0,3.4901942162495847,2756.25,64738800.0,25266.679349999955
79,2025-06-23,33558.0,BBB,11108.0,707,Female,56.0,Others,CANCELLED,24 Parganas,West Bengal,700075.0,2025.0,6.0,2.0,700-749,46-60,24 parganas,0,3.0210658984515666,599.25,23725506.0,11141.833150000004
80,2025-06-21,38352.0,BBB,57387.0,782,Male,34.0,Others,DISBURSED,Pune,Maharashtra,411062.0,2025.0,6.0,2.0,>750,31-35,pune,1,0.6683046683046683,1128.0,29991264.0,57670.37860000001
81,2025-06-23,17879.0,TTT,7500.0,137,Male,24.0,Food & Beverages,DISBURSED,Baroda,Gujarat,390001.0,2025.0,6.0,2.0,<600,22-25,baroda,0,2.3838666666666666,744.9583333333334,2449423.0,7493.66
82,2025-06-21,376440.0,BBB,36387.0,734,Male,31.0,Others,DISBURSED,Gwalior,Madhya Pradesh,474004.0,2025.0,6.0,2.0,700-749,31-35,gwalior,0,10.345453046417676,12143.225806451614,276306960.0,34398.80415
83,2025-06-27,47050.0,TTT,57500.0,135,Male,52.0,Retail And Shopping,DISBURSED,MUMBAI SUBURBAN,Maharashtra,400024.0,2025.0,6.0,2.0,<600,46-60,mumbai suburban,0,0.8182608695652174,904.8076923076923,6351750.0,57539.1149
84,2025-06-19,287610.0,PPP,66868.0,749,Female,42.0,Grocery And Daily Needs,CANCELLED,Ghaziabad,Uttar Pradesh,201005.0,2025.0,6.0,2.0,700-749,36-45,ghaziabad,0,4.301160495304181,6847.857142857143,215419890.0,66627.40430000002
85,2025-06-19,94100.0,TTT,42500.0,765,Male,25.0,Retail And Shopping,DISBURSED,Ahmedabad,Gujarat,382110.0,2025.0,6.0,2.0,>750,22-25,ahmedabad,1,2.2141176470588237,3764.0,71986500.0,42500.4883
86,2025-06-20,94100.0,TTT,37500.0,737,Male,25.0,Automobiles,CLOSED,BANAS KANTHA,Gujarat,385001.0,2025.0,6.0,2.0,700-749,22-25,banas kantha,0,2.509333333333333,3764.0,69351700.0,37458.1216
87,2025-06-18,94100.0,TTT,87500.0,687,Male,37.0,Retail And Shopping,DISBURSED,Ernakulam,Kerala,682024.0,2025.0,6.0,2.0,600-699,36-45,ernakulam,0,1.0754285714285714,2543.2432432432433,64646700.0,87703.63339999999
88,2025-06-15,95280.0,PPP,36365.33,0,Unknown,37.0,Food & Beverages,DISBURSED,Coimbatore,Tamil Nadu,641663.0,2025.0,6.0,2.0,<600,36-45,coimbatore,0,2.6200779698685532,2575.135135135135,0.0,36458.23825000004
89,2025-06-15,95280.0,PPP,36365.33,739,Male,35.0,Food & Beverages,DISBURSED,Coimbatore,Tamil Nadu,641663.0,2025.0,6.0,2.0,700-749,31-35,coimbatore,0,2.6200779698685532,2722.285714285714,70411920.0,36544.79850000001
90,2025-06-15,87657.0,PPP,30112.5,734,Male,31.0,Healthcare And Wellness,DISBURSED,Nizamabad,Telangana,503185.0,2025.0,6.0,2.0,700-749,31-35,nizamabad,0,2.9109838107098382,2827.6451612903224,64340238.0,29958.55010000001
91,2025-06-16,191740.0,PPP,185697.33,718,Male,33.0,Food & Beverages,DISBURSED,Hyderabad,Telangana,500043.0,2025.0,6.0,2.0,700-749,31-35,hyderabad,1,1.032540424786937,5810.30303030303,137669320.0,185462.45389999924
92,2025-06-28,65870.0,TTT,27500.0,772,Male,30.0,Food & Beverages,DISBURSED,NANDED,Maharashtra,431601.0,2025.0,6.0,2.0,>750,26-30,nanded,0,2.395272727272727,2195.6666666666665,50851640.0,27500.0
93,2025-06-12,23820.0,PPP,19247.83,780,Female,29.0,Grocery And Daily Needs,DISBURSED,East Delhi,Delhi,110053.0,2025.0,6.0,2.0,>750,26-30,east delhi,0,1.2375421021486577,821.3793103448276,18579600.0,19602.175800000005
94,2025-06-12,57522.0,PPP,46656.83,772,Male,25.0,Healthcare And Wellness,DISBURSED,Thane,Maharashtra,401404.0,2025.0,6.0,2.0,>750,22-25,thane,0,1.2328741579742988,2300.88,44406984.0,47332.39060000005
95,2025-06-11,10480.0,PPP,12314.4,746,Male,27.0,Grocery And Daily Needs,DISBURSED,Darjiling,West Bengal,734010.0,2025.0,6.0,2.0,700-749,26-30,darjiling,0,0.8510361852790229,388.14814814814815,7818080.0,12331.204299999983
96,2025-06-13,35758.0,TTT,12500.0,714,Male,49.0,Retail And Shopping,DISBURSED,CHITTOOR,Andhra Pradesh,517501.0,2025.0,6.0,2.0,700-749,46-60,chittoor,0,2.86064,729.7551020408164,25531212.0,12499.0799
97,2025-06-11,65870.0,TTT,27500.0,733,Male,42.0,Others,DISBURSED,HYDERABAD,Telangana,500007.0,2025.0,6.0,2.0,700-749,36-45,hyderabad,1,2.395272727272727,1568.3333333333333,48282710.0,27505.2752
98,2025-06-11,119837.0,PPP,51500.0,770,Male,23.0,Retail And Shopping,DISBURSED,Surat,Gujarat,395011.0,2025.0,6.0,2.0,>750,22-25,surat,0,2.3269320388349515,5210.304347826087,92274490.0,51921.11010000002
99,2025-06-10,285840.0,PPP,148388.66,742,Male,41.0,Food & Beverages,DISBURSED,Bengaluru,Karnataka,562157.0,2025.0,6.0,2.0,700-749,36-45,bengaluru,1,1.9262927504028946,6971.707317073171,212093280.0,148544.69999999995
100,2025-06-10,9528.0,PPP,24482.33,766,Female,35.0,Grocery And Daily Needs,DISBURSED,Raipur,Chattisgarh,492014.0,2025.0,6.0,2.0,>750,31-35,raipur,0,0.3891786443528863,272.22857142857146,7298448.0,24552.62575000005
101,2025-06-10,146731.0,PPP,101665.0,782,Male,65.0,Grocery And Daily Needs,DISBURSED,Jaipur,Rajasthan,302029.0,2025.0,6.0,2.0,>750,60+,jaipur,0,1.4432793980229184,2257.4,114743642.0,101628.00274999999
102,2025-06-10,18820.0,TTT,7500.0,759,Male,31.0,Grocery And Daily Needs,DISBURSED,Rohtak,Haryana,124001.0,2025.0,6.0,2.0,>750,31-35,rohtak,0,2.509333333333333,607.0967741935484,14284380.0,7701.975
103,2025-06-07,193418.0,PPP,141337.66,768,Male,50.0,Grocery And Daily Needs,DISBURSED,North Delhi,Delhi,110085.0,2025.0,6.0,2.0,>750,46-60,north delhi,0,1.3684816912916202,3868.36,148545024.0,140302.16235
104,2025-06-06,190560.0,PPP,91866.66,819,Male,47.0,Food & Beverages,DISBURSED,Thanjavur,Tamil Nadu,612001.0,2025.0,6.0,2.0,>750,46-60,thanjavur,0,2.074310745595845,4054.468085106383,156068640.0,93548.22009999992
105,2025-06-06,60026.0,PPP,20874.66,103,Female,46.0,Food & Beverages,DISBURSED,Kamrup,Assam,781012.0,2025.0,6.0,2.0,<600,46-60,kamrup,0,2.8755438411931022,1304.9130434782608,6182678.0,20923.61810000004
106,2025-06-06,190560.0,PPP,76158.66,726,Male,39.0,Grocery And Daily Needs,DISBURSED,Jhujhunu,Rajasthan,333026.0,2025.0,6.0,2.0,700-749,36-45,jhujhunu,0,2.5021448644185704,4886.153846153846,138346560.0,76467.6940500001
107,2025-06-06,188790.0,TTT,77500.0,769,Female,38.0,Food & Beverages,DISBURSED,Coimbatore,Tamil Nadu,641050.0,2025.0,6.0,2.0,>750,36-45,coimbatore,0,2.436,4968.1578947368425,145179510.0,77617.68110000002
108,2025-06-05,100663.0,PPP,69754.33,725,Male,42.0,Food & Beverages,DISBURSED,Salem,Tamil Nadu,636121.0,2025.0,6.0,2.0,700-749,36-45,salem,0,1.4431075461551992,2396.7380952380954,72980675.0,67714.60795000008
109,2025-06-05,42345.0,TTT,12500.0,770,Male,50.0,Retail And Shopping,DISBURSED,SALEM,Tamil Nadu,636006.0,2025.0,6.0,2.0,>750,46-60,salem,0,3.3876,846.9,32605650.0,12362.302099999999
110,2025-06-03,64929.0,TTT,37630.83,674,Male,45.0,Retail And Shopping,DISBURSED,Mathura,Uttar Pradesh,281305.0,2025.0,6.0,2.0,600-699,36-45,mathura,0,1.725420353470811,1442.8666666666666,43762146.0,37328.95740000005
111,2025-05-31,473450.0,TTT,37630.83,759,Male,38.0,Retail And Shopping,DISBURSED,Dindigul,Tamil Nadu,624004.0,2025.0,5.0,2.0,>750,36-45,dindigul,0,12.581439208223681,12459.21052631579,359348550.0,37156.722950000054
112,2025-05-30,112330.0,TTT,37630.83,751,Male,50.0,Retail And Shopping,DISBURSED,Mandla,Madhya Pradesh,481661.0,2025.0,5.0,2.0,>750,46-60,mandla,0,2.985052415798429,2246.6,84359830.0,37625.71190000005
